#separator:tab
#html:true
#columns:Word	WordAudio	Meaning	Sentence	SentenceAudio	Translation	Tags
#tags column:7
する	する	to do; to carry out; to perform<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 1</div>	<ruby>明<rt>あき</rt></ruby>らかに<ruby>全員<rt>ぜんいん</rt></ruby><ruby>出席<rt>しゅっせき</rt></ruby><b>し</b>ているように<ruby>見<rt>み</rt></ruby>えました。	明らかに全員出席しているように見えました。	It clearly looked as if everyone was present.	pos::verb rank::0001-0500
こと	こと	thing; matter<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 2</div>	そんな<b>こと</b>リクエストしていません。	そんなことリクエストしていません。	I didn't request you to do that.	pos::noun rank::0001-0500
いる	いる	to be (of animate objects); to exist<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 3</div>	<b>いる</b>だけ<ruby>持<rt>も</rt></ruby>っていらっしゃい。	いるだけ持っていらっしゃい。	Please take with you as much as you need.	pos::verb rank::0001-0500
ある	ある	to be; to exist; to live<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 4</div>	<ruby>分<rt>わ</rt></ruby>からない<ruby>言葉<rt>ことば</rt></ruby>がたくさん<b>ある</b>。	分からない言葉がたくさんある。	There are many words that I don't understand.	pos::verb rank::0001-0500
<ruby>日<rt>ひ</rt></ruby>	日	day; days<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 5</div>	<ruby>彼<rt>かれ</rt></ruby>は２、３<b><ruby>日<rt>にち</rt></ruby></b>したら<ruby>帰<rt>かえ</rt></ruby>ってくるでしょう。	彼は２、３日したら帰ってくるでしょう。	He will come back in a few days.	pos::noun rank::0001-0500
この	この	this<div style="font-size:12px;color:#a7aebb;margin-top:4px">adjective &middot; frequency rank 6</div>	<b>この</b>ドライバーは<ruby>小<rt>ちい</rt></ruby>さすぎて<ruby>役<rt>やく</rt></ruby>に<ruby>立<rt>た</rt></ruby>たない。	このドライバーは小さすぎて役に立たない。	This screwdriver is too small to be any use.	pos::adjective rank::0001-0500
そう	そう	in that way; thus; such<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 7</div>	まあ、<b>そう</b><ruby>言<rt>い</rt></ruby>ってくださって<ruby>本当<rt>ほんとう</rt></ruby>にありがとう。	まあ、そう言ってくださって本当にありがとう。	Oh, it's very kind of you to say so.	pos::adverb rank::0001-0500
これ	これ	this; this one<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 8</div>	とても<ruby>疲<rt>つか</rt></ruby>れていて<b>これ</b><ruby>以上<rt>いじょう</rt></ruby><ruby>歩<rt>ある</rt></ruby>けない。	とても疲れていてこれ以上歩けない。	I'm so tired that I can't walk any longer.	pos::pronoun rank::0001-0500
よう	よう	appearing ...; looking ...<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 9</div>	<ruby>遅<rt>おく</rt></ruby>れない<b>よう</b><ruby>早<rt>はや</rt></ruby>く<ruby>出発<rt>しゅっぱつ</rt></ruby>した。	遅れないよう早く出発した。	I left early so as not to be late.	pos::noun rank::0001-0500
<ruby>年<rt>とし</rt></ruby>	年	year<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 10</div>	<ruby>百<rt>ひゃく</rt></ruby><b><ruby>歳<rt>さい</rt></ruby></b><ruby>以上<rt>いじょう</rt></ruby><ruby>生<rt>い</rt></ruby>きる<ruby>人<rt>ひと</rt></ruby>はほとんどいない。	百歳以上生きる人はほとんどいない。	Few people live to be more than a hundred.	pos::noun rank::0001-0500
